id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i154916749,2026-06-06,2026-06-06T22:00:24,run,Run,Wroclaw Running,4735,4736,21226.59,119.0,0.951,,,,,,,,,intervals
i155644226,2026-06-09,2026-06-09T09:44:50,run,Run,Wroclaw - Threshold,3079,3197,12630.46,71.0,0.91,,,,,,,,,intervals
i156937303,2026-06-13,2026-06-13T12:13:03,run,Run,Mietkow Multisport,2338,2339,10317.76,54.0,0.912,,,,,,,,,intervals
i157542662,2026-06-15,2026-06-15T17:35:41,run,Run,Wroclaw - Anaerobic,3564,3976,13294.89,63.0,0.798,,,,,,,,,intervals
i157700578,2026-06-16,2026-06-16T11:30:52,run,Run,Wroclaw - Base,2946,2947,11012.39,44.0,0.733,,,,,,,,,intervals
i157986336,2026-06-17,2026-06-17T09:36:43,run,Run,Wroclaw - Tempo,3138,3386,12733.95,82.0,0.969,,,,,,,,,intervals
i158870781,2026-06-20,2026-06-20T10:08:33,run,Run,Zelow Running,6021,6378,21665.33,123.0,0.851,,,,,,,,,intervals
i159300218,2026-06-22,2026-06-22T08:05:41,run,Run,Wroclaw Carrera,2824,2841,10088.93,30.0,0.617,,,,,,,,,intervals
i159574829,2026-06-23,2026-06-23T07:41:34,run,Run,Wroclaw - Sprint,3224,3233,11309.57,42.0,0.684,,,,,,,,,intervals
i160152769,2026-06-25,2026-06-25T06:50:08,run,Run,Wroclaw - Threshold 4x8min,3481,3746,14569.59,79.0,0.902,,,,,,,,,intervals
